station,stationLabel,ibnr
http://www.wikidata.org/entity/Q203532,Aschaffenburg Hauptbahnhof,8000010
http://www.wikidata.org/entity/Q165368,Frankfurt (Main) Hbf,8000105
http://www.wikidata.org/entity/Q174845,Gare d'Avignon TGV,8704918
http://www.wikidata.org/entity/Q174845,Gare d'Avignon TGV,8796005
http://www.wikidata.org/entity/Q254647,Munich Central Station,8000261
http://www.wikidata.org/entity/Q318930,Braunschweig Central Station,8000049
http://www.wikidata.org/entity/Q319908,Eisenach Hauptbahnhof,8010097
http://www.wikidata.org/entity/Q320066,Neustadt Central Station,8000275
http://www.wikidata.org/entity/Q320361,Worms Central Station,8000257
http://www.wikidata.org/entity/Q285550,Frankfurt (Main) Süd,8002041
http://www.wikidata.org/entity/Q318279,Bruchsal,8000055
http://www.wikidata.org/entity/Q316905,Siegburg/Bonn station,8005556
http://www.wikidata.org/entity/Q320175,Stralsund Hauptbahnhof,8010338
http://www.wikidata.org/entity/Q300706,Aachen Central Station,8000001
http://www.wikidata.org/entity/Q315801,Passau Hauptbahnhof,8000298
http://www.wikidata.org/entity/Q320098,Göttingen station,8000128
http://www.wikidata.org/entity/Q323374,Nienburg (Weser) station,8000279
http://www.wikidata.org/entity/Q323533,Gütersloh Central Station,8002461
http://www.wikidata.org/entity/Q324687,Plochingen station,8000302
http://www.wikidata.org/entity/Q323587,Prenzlau railway station,8010282
http://www.wikidata.org/entity/Q324238,Vaihingen (Enz),8006053
http://www.wikidata.org/entity/Q323865,Schleswig station,8005362
http://www.wikidata.org/entity/Q322806,Limburg Süd station,8003680
http://www.wikidata.org/entity/Q322789,Andernach station,8000331
http://www.wikidata.org/entity/Q324739,Bad Hersfeld station,8000020
http://www.wikidata.org/entity/Q324762,Donauwörth station,8000078
http://www.wikidata.org/entity/Q324828,Homburg Central Station,8000176
http://www.wikidata.org/entity/Q324749,Lichtenfels,8000228
http://www.wikidata.org/entity/Q453861,Bochum Hbf,8000041
http://www.wikidata.org/entity/Q371816,Frankfurt Airport long-distance station,8070003
http://www.wikidata.org/entity/Q442698,Baden-Baden,8000774
http://www.wikidata.org/entity/Q371816,Frankfurt Airport long-distance station,8000281
http://www.wikidata.org/entity/Q324979,Wiesloch-Walldorf station,8006421
http://www.wikidata.org/entity/Q440542,Eberswalde Central Station,8010093
http://www.wikidata.org/entity/Q325491,Leipzig/Halle Airport railway station,8012183
http://www.wikidata.org/entity/Q439525,Angermünde railway station,8010004
http://www.wikidata.org/entity/Q324775,Hildesheim Central Station,8000169
http://www.wikidata.org/entity/Q463931,Fulda railway station,8000115
http://www.wikidata.org/entity/Q466357,Recklinghausen Central Station,8000307
http://www.wikidata.org/entity/Q454898,Kiel Central station,8000199
http://www.wikidata.org/entity/Q459134,Flensburg station,8000103
http://www.wikidata.org/entity/Q455960,Magdeburg Central Station,8010224
http://www.wikidata.org/entity/Q467998,Heidelberg Central Station,8000156
http://www.wikidata.org/entity/Q462284,Gelsenkirchen Central Station,8000118
http://www.wikidata.org/entity/Q464355,Osnabrück Central Station,8000294
http://www.wikidata.org/entity/Q455346,Wolfsburg Central Station,8006552
http://www.wikidata.org/entity/Q462086,Gießen station,8000124
http://www.wikidata.org/entity/Q469682,Koblenz Central Station,8000206
http://www.wikidata.org/entity/Q473903,Rosenheim station,8000320
http://www.wikidata.org/entity/Q472651,Minden station,8000252
http://www.wikidata.org/entity/Q472937,Ulm Hauptbahnhof,8000170
http://www.wikidata.org/entity/Q471599,Solingen Central Station,8000087
http://www.wikidata.org/entity/Q470320,Offenburg railway station,8000290
http://www.wikidata.org/entity/Q468107,Mülheim (Ruhr) Hauptbahnhof,8000259
http://www.wikidata.org/entity/Q469336,Montabaur station,8000667
http://www.wikidata.org/entity/Q473572,Freiburg (Breisgau) Central Station,8000107
http://www.wikidata.org/entity/Q472236,Neuss Central Station,8000274
http://www.wikidata.org/entity/Q476107,Erfurt Central Station,8010101
http://www.wikidata.org/entity/Q474433,Paderborn Central Station,8000297
http://www.wikidata.org/entity/Q475520,Neumünster station,8000271
http://www.wikidata.org/entity/Q481496,Puttgarden station,8004903
http://www.wikidata.org/entity/Q538828,Hanau Central Station,8000150
http://www.wikidata.org/entity/Q528204,Hamm (Westf) Hbf,8000149
http://www.wikidata.org/entity/Q541041,Wuppertal Central Station,8000266
http://www.wikidata.org/entity/Q529644,Hagen Central Station,8000142
http://www.wikidata.org/entity/Q564926,Lübeck station,8000237
http://www.wikidata.org/entity/Q567024,Duisburg Central Station,8000086
http://www.wikidata.org/entity/Q564788,Ingolstadt Hbf,8000183
http://www.wikidata.org/entity/Q563272,Kassel-Wilhelmshöhe,8003200
